name,mdbId,fraktion,contact_url
"Ebenberger, Tobias",1044132,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044132
"Ebmeyer, Joachim",1044138,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044138
"Ebner, Harald",1044140,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044140
"Eckert, Leon",1044146,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044146
"Edelhäußer, Ralph",1048538,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048538
"Edis, Mirze",1044156,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044156
"Ehm, Lars",1044168,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044168
"Eichwede, Sonja",1044174,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044174
"Eißing, Mandy",1044186,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044186
"Emmerich, Marcel",1044196,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044196
"Engelhard, Alexander",1048558,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048558
"Englhardt-Kopf, Martina",1044208,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044208
"Erndl, Thomas",1048566,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048566
"Ernst, Bastian",1044216,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044216
"Esdar, Dr. Wiebke",1044222,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044222
"Esken, Saskia",1044226,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044226
"Espendiller, Dr. Michael",1044228,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044228
"Faeser, Nancy",1044244,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044244
"Fahl, Dr. Fabian",1044246,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044246
"Fechner, Dr. Johannes",1044266,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044266
"Fehre, Micha",1044272,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044272
"Feiler, Uwe",1044276,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044276
"Felser, Peter",1044286,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044286
"Feser, Jan",1044292,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044292
"Fetsch, Thomas",1044296,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044296
"Fey, Katrin",1044300,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044300
"Fiedler, Sebastian",1044302,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044302
"Finger, Hauke",1044304,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044304
"Fischer, Simone",1044328,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044328
"Foullong, Uwe",1044356,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044356
"Frauenpreiß, Christoph",1044368,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044368
"Frei, Thorsten",1044370,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044370
"Frieser, Michael",1044396,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044396
"Frohnmaier, Markus",1044406,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044406
"Frömming, Dr. Götz",1044408,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044408
"Färber, Hermann",1044260,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044260
"Galla, Rainer",1044428,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044428
"Gamanov, Boris",1044434,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044434
"Gambir, Schahina",1044436,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044436
"Gastel, Matthias",1044446,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044446
"Gauland, Dr. Alexander",1044448,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044448
"Gebel, Kathrin",1044460,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044460
"Gebhard, Wilhelm",1044462,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044462
"Gebhart, Dr. Thomas",1044466,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044466
"Geissler, Dr. Jonas",1048618,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048618
"Gennburg, Katalin",1044470,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044470
"Gerster, Martin",1044480,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044480
"Gesenhues, Dr. Jan-Niclas",1044484,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044484
"Giersch, Alexis L.",1044490,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044490
"Glaser, Vinzenz",1044506,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044506
"Gläser, Ronald",1044508,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044508
"Glöckner, Angelika",1044518,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044518
"Gnauck, Hannes",1044526,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044526
"Gohlke, Nicole",1044540,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044540
"Gottschalk, Kay",1044570,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044570
"Goßner, Hans-Jürgen",1044566,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044566
"Gramling, Fabian",1048646,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048646
"Grasse, Adrian",1044590,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044590
"Grau, Prof. Dr. Armin",1044594,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044594
"Gregosz, David",1044600,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044600
"Griese, Kerstin",1044602,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044602
"Grimm, Christoph",1048654,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1048654
"Groß, Rainer",1044618,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044618
"Gräßle, Dr. Inge",1048650,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048650
"Gumnior, Dr. Lena",1044644,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044644
"Gutting, Olav",1048666,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048666
"Gysi, Dr. Gregor",1044670,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044670
"Göring-Eckardt, Katrin",1044556,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044556
"Görke, Christian",1044558,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044558
"Güler, Serap",1044642,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044642
"Günther, Georg",1044652,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044652
"Güntzler, Fritz",1044656,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044656
"Gürpinar, Ates",1044658,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044658
"Haase, Christian",1048668,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048668
"Habeck, Dr. Robert",1044672,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044672
"Hagedorn, Bettina",1044684,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044684
"Hahn, Florian",1044694,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044694
"Hahn, Prof. Dr. Ingo",1044696,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044696
"Hain, Heiko",1044706,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044706
"Haise, Lars",1044710,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044710
"Hakverdi, Metin",1044714,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044714
"Hanker, Mirco",1044728,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044728
"Hardt, Jürgen",1044742,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044742
"Hartmann, Sebastian",1044764,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044764
"Hauer, Matthias",1044780,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044780
"Haug, Jochen",1044782,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044782
"Haßelmann, Britta",1044778,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044778
"Heil, Hubertus",1044824,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044824
"Heil, Mechthild",1044822,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044822
"Heiligenstadt, Frauke",1044826,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044826
"Heinrich, Gabriela",1044842,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044842
"Heitmann, Linda",1044850,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044850
"Helferich, Matthias",1044860,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044860
"Helfrich, Mark",1044862,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044862
"Hemmelgarn, Udo Theodor",1044878,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044878
"Henrichmann, Marc",1048708,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048708
"Henze, Stefan",1044902,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044902
"Herbstreuth, Diana",1044916,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044916
"Hermeier, Mareike",1044924,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1044924
"Heselhaus, Nadine",1044944,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044944
"Hess, Martin",1044948,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044948
"Hess, Nicole",1044950,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044950
"Heubach, Heike",1044962,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1044962
"Heuberger, Dr. Moritz",1044964,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1044964
"Heveling, Ansgar",1044970,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044970
"Hierl, Susanne",1044978,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1044978
"Hiller, Prof. Dr. Matthias",1048714,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048714
"Hilmer, Olaf",1044990,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044990
"Hilse, Karsten",1044992,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1044992
"Hirte, Christian",1045006,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045006
"Hoffmann, Alexander",1048720,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1048720
"Hoffmann, Philip M. A.",1045026,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045026
"Hofreiter, Dr. Anton",1045040,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1045040
"Holm, Leif-Erik",1045050,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045050
"Hoppenstedt, Dr. Hendrik",1045070,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045070
"Hoppermann, Franziska",1045072,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045072
"Hose, Michael",1045100,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045100
"Hostert, Jasmina",1045108,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045108
"Hoß, Luke",1045106,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1045106
"Hubertz, Verena",1045124,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045124
"Huy, Gerrit",1045152,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045152
"Höchst, Nicole",1045014,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045014
"Ince, Cem",1045160,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1045160
"Jacobi, Fabian",1045178,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045178
"Janich, Steffen",1045194,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045194
"Janssen, Anne",1045200,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045200
"Jarzombek, Thomas",1045202,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045202
"Jordan, Alexander",1045230,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045230
"Joswig, Julian",1045232,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1045232
"Jung, Andreas",1045234,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045234
"Junge, Frank",1045238,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045238
"Jünger, Robin",1045240,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045240
"Kaczmarek, Oliver",1045254,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045254
"Kaddor, Lamya",1045258,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1045258
"Kaiser, Elisabeth",1045268,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045268
"Kaminski, Maren",1045282,Die Linke,https://www.bundestag.de/services/formular/contactform?mdbId=1045282
"Kappe, Nicklas",1045306,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045306
"Kappert-Gonther, Dr. Kirsten",1045310,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1045310
"Karaahmetoğlu, Macit",1045312,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045312
"Karliczek, Anja",1045318,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045318
"Kaufmann, Dr. Malte",1045334,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045334
"Kaufmann, Prof. Dr.-Ing. habil. Michael",1045336,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045336
"Kellner, Michael",1045350,Bündnis 90/Die Grünen,https://www.bundestag.de/services/formular/contactform?mdbId=1045350
"Kemmer, Ronja",1045358,CDU/CSU,https://www.bundestag.de/services/formular/contactform?mdbId=1045358
"Kempf, Martina",1045360,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045360
"Kersten, Dr. Franziska",1045366,SPD,https://www.bundestag.de/services/formular/contactform?mdbId=1045366
"Keuter, Stefan",1045374,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045374
"Kever, Rocco",1045376,AfD,https://www.bundestag.de/services/formular/contactform?mdbId=1045376
